A2006010116333703 002 345044 007 1323315 008  99104430V   5112  6224ìáç™åßêºïî                7K
4518630 181621256 1 05 21356 00027 N00024 E00022 Z00017 P004P004P004P004P004P001                
4600020 181621364 1 05 21386 00033 N00024 E00028 Z00010 F107F098F095F095F084F085                
5000000 181621194 1 09 21260 00035 N00032 E00020 Z00015 F023F023F029F029F036F036                
5000030 181621257 1 11 ///// 00066 N00048 E00051 Z00018 P003P///P003P///P003P///                
5000120 181621229 1 14 21230 00108 N00103 E00057 Z00031 F039F039F045F046F052F045                
5000130 181621228 1 12 ///// 00077 N00045 E00066 Z00033 P004P///P002P///P002P///                
5000131 181621210 1 12 ///// 00063 N00057 E00045 Z00020 P002P///P002P///P002P///                
5000133 181621219 1 13 ///// 00140 N00120 E00076 Z00024 P005P///P003P///P003P///                
5000135 181621207 1 11 ///// 00076 N00060 E00048 Z00017 P004P///P003P///P002P///                
5002920 181621254 1 05 21263 00028 N00025 E00023 Z00013 F134F025F137F137F137F037                
5002932 181621291 1 10 ///// 00040 N00036 E00030 Z00013 P002P///P003P///P002P///                
5003030 181621226 1 10 ///// 00034 N00031 E00028 Z00023 P004P///P004P///P002P///                
5003031 181621218 1 09 ///// 00062 N00040 E00062 Z00046 P004P///P002P///P002P///                
5003032 181621247 1 13 ///// 00055 N00049 E00037 Z00030 P002P///P005P///P002P///                
5003033 181621236 1 09 ///// 00060 N00053 E00040 Z00025 P002P///P002P///P002P///                
5003130 181621290 1 08 ///// 00040 N00034 E00032 Z00016 P002P///P002P///P003P///                
5010100 181621241 1 07 21314 00027 N00019 E00024 Z00011 F024F024F025F025F061F118                
5204130 181621351 1 07 21452 00024 N00017 E00017 Z00022 P004P004P004P004P003P004                
5300000 181621525 1 05 21534 00015 N00010 E00014 Z00005 F018F018F022F022F021F023                
5311530 181621530 1 05 21540 00016 N00014 E00013 Z00007 P003P///P003P///P002P///                
5314020 181621490 1 07 21499 00025 N00021 E00014 Z00005 P003P///P003P///P003P///                
A2006021903574794 013 360425 034 1394994 035 457512331V31d5111  3 88àÔèÈåßìÏïî                1K
3110200 190358036 1 05 58039 00056 N00055 E00030 Z00015 F140F140F103F290F140F291                
A2006021916083122 016 303496 049 1311058 075 298407035V   5111  7298éÌéqìáãﬂäC                1K
7760001 191608364 1 10 08408 00130 N00079 E00102 Z00033 F072F072F076F076F153P205                
A2006022002111251 004 320447 011 1295256 018 120009741D41V5112  7283ìVëêìÂ                   15K
7432001 200211166 2 22 11199 00187 N00171 E00110 Z00071 F041F041F050F049F045F045                
7432034 200211310 2 16 ///// 00047 N00040 E00033 Z00025 P///P///P///P///P///P///                
7432035 200211230 2 20 ///// 00154 N00130 E00107 Z00044 P///P///P///P///P///P///                
7703930 200211170 2 19 ///// 00143 N00114 E00111 Z00086 P///P///P///P///P///P///                
7310001 200211327 1 08 11434 00030 N00030 E00017 Z00015 F051F051F045F045F189F189                
7310130 200211410 1 08 ///// 00022 N00015 E00022 Z00005 F027P///F027P///F031P///                
7321701 200211293 1 07 11400 00033 N00033 E00021 Z00014 F049F049F061F051F103F312                
7431900 200211348 1 11 11357 00040 N00030 E00025 Z00010 F028F028F027F027F055F111                
7431931 200211300 1 10 ///// 00081 N00055 E00068 Z00030 P///P///P///P///P///P///                
7432032 200211280 1 08 ///// 00046 N00034 E00038 Z00013 P///P///P///P///P///P///                
7700000 200211382 1 07 11387 00029 N00026 E00021 Z00006 F054F054F067F067F051F104                
7700001 200211355 1 09 11361 00053 N00040 E00042 Z00018 F053F053F061F061F071F125                
7705200 200211238 1 12 11293 00057 N00056 E00051 Z00013 F060F060F072F072F103P205                
7705610 200211294 1 08 11298 00037 N00035 E00025 Z00014 F051F051F054F022F042F048                
7750400 200211202 1 05 11258 00039 N00037 E00038 Z00014 F067F067F100F100F171F234                
A2006022023272650 002 340340 006 1351591 009  78103726V   5111  5190òaâÃéRåßñkïî              4K
5500131 202327320 1 05 ///// 00082 N00078 E00037 Z00033 F043P///F049P///F230P///                
5501930 202327310 1 13 ///// 00396 N00280 E00276 Z00203 F145P///F148P///F216P///                
5502030 202327320 1 08 ///// 00145 N00053 E00141 Z00075 F153P///F057P///F141P///                
5503730 202327310 1 07 ///// 00151 N00050 E00142 Z00034 F240P///F079P///F221P///                
A2006022115014424 009 353049 019 1390852 021 177108028V   5111  4152ê_ìﬁêÏåßêºïî              3K
3612231 211501500 1 14 ///// 00140 N00061 E00139 Z00010 F090F090F090F090F035F111                
4120220 211501494 1 05 01529 00040 N00035 E00035 Z00027 F072F073F072F072F092F091                
4120331 211501522 1 08 ///// 00045 N00032 E00043 Z00028 P002P///P002P///P001P///                
A2006022213372398 023 353634 058 1400609 086 705019841D40V5112  3 93êÁótåßñkêºïî            107K
3311130 221337385 2 15 37478 00078 N00065 E00075 Z00068 P006P006P006P006P001P003                
3502052 221337380 2 16 ///// 00048 N00047 E00042 Z00019 P007P///P006P///P016P///                
3003430 221337480 1 09 ///// 00050 N00035 E00042 Z00029 P///P///P///P///P///P///                
3003431 221337520 1 07 ///// 00029 N00023 E00026 Z00015 P///P///P///P///P///P///                
3003432 221337480 1 06 ///// 00031 N00030 E00029 Z00016 P///P///P///P///P///P///                
3010000 221337381 1 06 37487 00033 N00026 E00033 Z00032 F059F059F064F064F116P205                
3010030 221337460 1 11 ///// 00054 N00043 E00049 Z00027 P///P///P///P///P///P///                
3010132 221337510 1 10 ///// 00033 N00021 E00030 Z00012 P///P///P///P///P///P///                
3010200 221337385 1 08 37491 00039 N00034 E00038 Z00024 F059F056F058F053F119F173                
3011030 221337350 1 08 ///// 00043 N00038 E00029 Z00032 P///P///P///P///P///P///                
3011130 221337460 1 14 ///// 00053 N00043 E00051 Z00033 P///P///P///P///P///P///                
3011131 221337370 1 12 ///// 00056 N00047 E00044 Z00054 P///P///P///P///P///P///                
3011200 221337495 1 08 37514 00033 N00020 E00028 Z00008 F054F054F051F051F099F075                
3012430 221337510 1 06 ///// 00033 N00031 E00024 Z00018 P///P///P///P///P///P///                
3012530 221337460 1 08 ///// 00033 N00029 E00030 Z00022 P///P///P///P///P///P///                
3015300 221337426 1 05 37454 00028 N00019 E00022 Z00020 F042F042F051F051F083F089                
3015400 221337376 1 11 37495 00043 N00036 E00035 Z00039 F043F043F035F035F102F102                
3015430 221337490 1 07 ///// 00034 N00033 E00026 Z00020 P///P///P///P///P///P///                
3015530 221337450 1 11 ///// 00047 N00045 E00025 Z00045 P///P///P///P///P///P///                
3015600 221337501 1 09 37523 00026 N00024 E00021 Z00012 F034F034F029F029F135F135                
3015631 221337490 1 07 ///// 00044 N00038 E00040 Z00035 P///P///P///P///P///P///                
3015632 221337510 1 09 ///// 00050 N00031 E00040 Z00020 P///P///P///P///P///P///                
3015730 221337370 1 08 ///// 00050 N00035 E00033 Z00049 P///P///P///P///P///P///                
3016030 221337520 1 07 ///// 00034 N00027 E00022 Z00027 P///P///P///P///P///P///                
3016031 221337500 1 09 ///// 00032 N00026 E00028 Z00022 P///P///P///P///P///P///                
3016032 221337510 1 05 ///// 00044 N00038 E00022 Z00023 P///P///P///P///P///P///                
3016230 221337400 1 09 ///// 00034 N00024 E00033 Z00018 P///P///P///P///P///P///                
3016330 221337480 1 08 ///// 00034 N00030 E00031 Z00019 P///P///P///P///P///P///                
3100000 221337475 1 05 38043 00026 N00019 E00025 Z00013 F077F077F068F068F093F132                
3110000 221337429 1 08 37562 00048 N00031 E00048 Z00014 F088F088F054F054F099F151                
3110200 221337424 1 06 37536 00065 N00053 E00053 Z00012 F094F094F097F097F092F245                
3300030 221337540 1 08 37549 00021 N00016 E00019 Z00007 P006P006P004P004P004P002                
3300031 221337549 1 05 37576 00016 N00015 E00014 Z00007 P003P003P003P003P001P001                
3300800 221337429 1 11 37513 00038 N00031 E00038 Z00010 F048F048F033F033F083F083                
3310730 221337488 1 10 38237 00094 N00063 E00059 Z00036 P004P005P004P005P002P002                
3310740 221337483 1 10 37498 00024 N00019 E00020 Z00011 P007P008P008P009P001P001                
3310830 221337419 1 09 38286 00036 N00030 E00032 Z00030 P003P003P003P003P002P002                
3311230 221337464 1 07 37377 00024 N00013 E00022 Z00022 P004P004P005P005P004P004                
3311430 221337444 1 05 37378 00018 N00013 E00015 Z00018 P003P003P005P005P002P002                
3313230 221337375 1 09 37477 00035 N00027 E00034 Z00025 P001P002P004P004P001P001                
3315100 221337393 1 09 37394 00041 N00023 E00033 Z00039 F068F068F046F046F087F115                
3400300 221337397 1 07 37471 00043 N00042 E00040 Z00012 F070F070F094F094F094F223                
3400330 221337460 1 06 ///// 00036 N00024 E00036 Z00014 P003P002P002P001P002P001                
3401200 221337456 1 05 37481 00013 N00012 E00012 Z00012 F027F027F025F025F120F120                
3402630 221337460 1 07 ///// 00036 N00032 E00025 Z00015 P002P001P002P001P001P001                
3403100 221337442 1 07 37445 00041 N00041 E00018 Z00014 F064F064F068F068F045F133                
3410000 221337356 1 09 37444 00037 N00025 E00034 Z00034 F030F030F040F040F081F041                
3411000 221337382 1 14 37468 00083 N00053 E00075 Z00029 F063F063F060F060F220F125                
3411030 221337450 1 08 ///// 00033 N00021 E00030 Z00014 P003P002P003P002P002P001                
3411130 221337440 1 13 ///// 00048 N00044 E00034 Z00031 P003P002P004P004P001P001                
3411230 221337440 1 08 ///// 00041 N00027 E00040 Z00028 P003P004P003P004P002P001                
3411301 221337379 1 11 37458 00057 N00056 E00035 Z00019 F040F040F058F058F088F088                
3411331 221337480 1 06 ///// 00030 N00017 E00024 Z00021 P002P001P001P001P001P001                
3411630 221337380 1 09 ///// 00037 N00029 E00027 Z00036 P004P001P003P001P001P001                
3411830 221337440 1 12 ///// 00047 N00046 E00038 Z00021 P003P002P003P002P002P001                
3412030 221337440 1 11 ///// 00053 N00052 E00031 Z00019 P002P001P004P004P002P001                
3412130 221337450 1 10 ///// 00042 N00022 E00042 Z00016 P003P002P003P004P001P001                
3412230 221337450 1 08 ///// 00036 N00034 E00031 Z00024 P003P004P003P005P001P001                
3412231 221337450 1 07 ///// 00039 N00032 E00038 Z00019 P002P003P002P001P002P001                
3420100 221337374 1 10 37467 00052 N00046 E00043 Z00028 F043F043F063F063F074F063                
3420130 221337460 1 09 ///// 00039 N00037 E00027 Z00023 P002P001P006P002P001P001                
3420530 221337470 1 09 ///// 00034 N00025 E00033 Z00017 P003P005P003P002P001P002                
3422233 221337510 1 10 ///// 00035 N00030 E00034 Z00008 P003P002P003P004P002P001                
3500000 221337365 1 12 37466 00060 N00039 E00056 Z00024 F054F054F048F048F072F068                
3500151 221337360 1 06 ///// 00033 N00021 E00029 Z00026 P004P///P001P///P002P///                
3500351 221337360 1 12 ///// 00083 N00044 E00028 Z00082 P002P///P001P///P001P///                
3500450 221337360 1 11 ///// 00058 N00034 E00049 Z00049 P002P///P003P///P001P///                
3500550 221337360 1 08 ///// 00074 N00032 E00020 Z00073 P003P///P007P///P001P///                
3500650 221337360 1 06 ///// 00046 N00014 E00013 Z00046 P003P///P009P///P002P///                
3500751 221337360 1 09 ///// 00042 N00021 E00041 Z00028 P002P///P002P///P003P///                
3500850 221337360 1 06 ///// 00026 N00020 E00025 Z00026 P004P///P002P///P002P///                
3500851 221337360 1 08 ///// 00074 N00040 E00043 Z00074 P004P///P003P///P001P///                
3500930 221337360 1 08 37360 00088 N00039 E00085 Z00031 P002P///P001P///P001P///                
3501051 221337360 1 05 ///// 00097 N00015 E00022 Z00096 P001P///P002P///P001P///                
3501052 221337360 1 07 ///// 00077 N00035 E00031 Z00077 P003P///P002P///P001P///                
3501151 221337360 1 11 ///// 00100 N00053 E00059 Z00099 P002P///P004P///P001P///                
3501351 221337460 1 05 ///// 00028 N00022 E00017 Z00015 P002P///P001P///P002P///                
3501651 221337390 1 09 ///// 00039 N00024 E00033 Z00025 P003P///P004P///P003P///                
3501750 221337360 1 08 ///// 00047 N00017 E00020 Z00047 P003P///P007P///P001P///                
3501950 221337380 1 05 ///// 00035 N00026 E00018 Z00035 P002P///P002P///P001P///                
3502030 221337390 1 06 37360 00028 N00027 E00018 Z00026 P009P///P009P///P001P///                
3502051 221337370 1 13 ///// 00059 N00035 E00059 Z00028 P009P///P009P///P002P///                
3502150 221337370 1 11 ///// 00047 N00044 E00030 Z00026 P003P///P003P///P002P///                
3502200 221337359 1 12 37359 00062 N00047 E00046 Z00061 F058F058F066F066F062F062                
3502250 221337360 1 10 ///// 00047 N00023 E00040 Z00031 P004P///P004P///P002P///                
3502251 221337400 1 12 ///// 00059 N00046 E00028 Z00059 P003P///P004P///P001P///                
3510250 221337410 1 05 ///// 00026 N00016 E00013 Z00026 P002P///P003P///P001P///                
3510330 221337470 1 07 37470 00035 N00032 E00027 Z00024 P002P///P001P///P001P///                
3600040 221337497 1 09 37371 00092 N00078 E00075 Z00078 F151P001F151P001F151P001                
3600141 221337472 1 13 37475 00085 N00069 E00080 Z00084 F058P001F085P001F088P000                
3600300 221337404 1 05 37375 00034 N00012 E00017 Z00033 F146F024F149F026F162F162                
3600320 221337480 1 06 37374 00034 N00022 E00021 Z00034 F041F041F070F043F179F043                
3600641 221337484 1 08 37484 00048 N00038 E00045 Z00034 F100P001F045P002F110P000                
3601040 221337483 1 09 37487 00048 N00042 E00043 Z00034 F069P001F069P002F131P000                
3601140 221337495 1 07 37494 00038 N00036 E00033 Z00019 F045P002F063P001F096P001                
3601241 221337487 1 07 37382 00052 N00030 E00050 Z00043 F105P002F102P000F066P001                
3601641 221337488 1 10 37492 00048 N00038 E00038 Z00022 F050P001F050P002F112P000                
3601820 221337461 1 09 37462 00054 N00032 E00051 Z00033 F082F046F076F075F082F081                
3601940 221337461 1 08 37461 00053 N00042 E00038 Z00046 P002P001P002P001P002P001                
3602040 221337465 1 09 37465 00050 N00044 E00041 Z00024 P001P001P001P001P001P001                
3602500 221337400 1 05 37509 00020 N00018 E00017 Z00008 F052F052F075F075F049F053                
3602730 221337490 1 07 ///// 00021 N00013 E00020 Z00008 F035F027F032F041F066F050                
3603120 221337490 1 06 ///// 00025 N00020 E00024 Z00011 F043F043F040F041F066F066                
3612041 221337501 1 08 ///// 00037 N///// E///// Z///// P002P///P001P///P001P///                
3612230 221337400 1 06 ///// 00040 N00025 E00017 Z00040 F043F041F045F050F066F076                
4400000 221337457 1 07 37559 00032 N00026 E00027 Z00011 F043F043F053F053F131F237                
4400320 221337590 1 07 38006 00051 N00051 E00027 Z00022 F114F041F044F041F130F132                
A2006022217584170 007 335535 019 1342908 023 396606233V   5111  6231ìøìáåßìÏïî                4K
6003520 221758492 1 11 58546 00079 N00049 E00071 Z00056 F102F102F081F081F144F144                
6010020 221758526 1 09 58528 00074 N00048 E00068 Z00015 F070F071F124F124F160F178                
6011220 221758549 1 07 58551 00118 N00106 E00052 Z00017 F140F140F110F110F142F054                
6011620 221758557 1 06 58556 00142 N00117 E00096 Z00028 F176F177F153F152F149F144                
A2006022306202179 006 325267 010 1310642 015  26610215V   5111  7270åFñ{åßà¢ëhínï˚            1K
7401200 230620235 1 10 20244 00067 N00040 E00060 Z00027 F093F093F101F101F083F083                
A2006022320304171 003 322326 010 1303987 012 100406223V   5111  7271åFñ{åßåFñ{ínï˚            1K
7410132 232030450 1 06 ///// 00099 N00044 E00087 Z00083 P///P///P///P///P///P///                
A2006022321365923 006 382423 020 1411129 022 112613618V   5111  2 50ã{èÈåßíÜïî                1K
2220831 232137020 1 07 ///// 00126 N00097 E00086 Z00125 P001P///P001P///P001P///                
A2006022405261297 015 431156 045 1451276 063 854511540D42V5111  1  8ã˙òHínï˚íÜìÏïî            6K
1600000 240526407 1 05 26437 00029 N00026 E00026 Z00019 F072F072F085F085F115F117                
1610001 240526399 1 10 26405 00053 N00050 E00027 Z00012 F059F059F062F062F047F045                
1610200 240526268 1 11 26366 00093 N00080 E00048 Z00034 F050F050F051F051F091P205                
1650000 240526271 1 09 26379 00064 N00048 E00054 Z00020 F076F076F085F085F166P205                
1650200 240526414 1 06 26426 00060 N00038 E00047 Z00012 F057F057F088F088F119F071                
1660000 240526283 1 09 26368 00059 N00036 E00057 Z00041 F083F083F040F040F141F141                
A2006022417515134 004 413307 014 1404227 017 158107836V   5112  1 17í√åyäCã¨                  4K
2030630 241751560 2 20 ///// 00708 N///// E///// Z///// P///P///P///P///P///P///                
1070230 241752010 1 08 ///// 00083 N00081 E00029 Z00032 P001P///P001P///P001P///                
2030330 241752000 1 07 ///// 00038 N///// E///// Z///// P///P///P///P///P///P///                
2030530 241752010 1 08 ///// 00111 N///// E///// Z///// P///P///P///P///P///P///                
A2006022420422169 009 395210 023 1414510 040 700807133V   5111  2 48ä‚éËåßâàä›ñkïî            2K
2101630 242042436 1 11 ///// 00119 N00073 E00101 Z00062 P001P///P001P///P001P///                
2130320 242042450 1 06 42455 00059 N00056 E00053 Z00029 F123F145F123F146F058F058                
A2006022422095912 005 334247 018 1351893 020 399704529V   5111  5207ãIà…êÖìπ                  1K
5510230 242210120 1 09 ///// 00079 N00059 E00053 Z00046 F074P///F080P///F169P///                
A2006022504252328 005 401017 015 1410802 018  90709523V   5111  2 48ä‚éËåßì‡ó§ñkïî            1K
2120130 250425263 1 13 ///// 00111 N00064 E00094 Z00109 P001P///P002P///P001P///                
A2006022508014370 016 433503 051 1462388 094 726912942V38d5111  1 23ñkäCìπìåï˚â´              1K
1660000 250802173 1 06 02186 00029 N00017 E00026 Z00011 F029F029F030F030F062F124                
A2006022508104417 004 401032 013 1410805 016  91108124V   5111  2 48ä‚éËåßì‡ó§ñkïî            1K
2120130 250810469 1 09 ///// 00065 N00038 E00055 Z00055 P002P///P002P///P001P///                
A2006022510030983 016 293424 050 1301021 108 233825942V   5112  7296âÇî¸ëÂìáñkìåâ´            1K
7740000 251003169 2 16 03239 00159 N00150 E00101 Z00051 F126F126F121F121F127F127                
A2006022510225833 006 350109 018 1390573 019  56406827V   5112  4155ê√â™åßà…ì§ínï˚            3K
4400000 251023001 2 17 23016 00226 N00170 E00148 Z00044 F126F126F064F064F127F127                
3611230 251023050 1 08 ///// 00040 N00031 E00029 Z00013 F034F041F041F041F033F076                
4400020 251023029 1 09 23031 00133 N00052 E00132 Z00024 F077F077F071F071F250F251                
A2006022604152811 004 342371 013 1391446 023  77805821V   5111  3103êVìáÅEê_í√ìáãﬂäC          1K
3560112 260415302 1 08 15317 00055 N00054 E00026 Z00036 F069F069F053F053F118F118                
A2006022618110887 012 402872 041 1422382 088 802114040D45V5112  2 60ê¬êXåßìåï˚â´             53K
2021831 261811260 2 20 ///// 00245 N///// E///// Z///// P///P///P///P///P///P///                
2021930 261811350 2 16 ///// 00141 N///// E///// Z///// P///P///P///P///P///P///                
2101630 261811356 2 18 ///// 00140 N00112 E00118 Z00123 P001P///P001P///P001P///                
2000200 261811456 1 05 11479 00022 N00018 E00021 Z00016 F074F074F026F026F138F138                
2002130 261811550 1 06 ///// 00030 N///// E///// Z///// P///P///P///P///P///P///                
2020000 261811247 1 12 11363 00058 N00054 E00037 Z00029 F049F049F061F061F120F398                
2020001 261811237 1 08 11358 00044 N00034 E00042 Z00020 F067F067F055F055F127P205                
2020130 261811420 1 05 ///// 00032 N///// E///// Z///// P///P///P///P///P///P///                
2020131 261811420 1 12 ///// 00118 N///// E///// Z///// P///P///P///P///P///P///                
2020230 261811400 1 09 ///// 00043 N///// E///// Z///// P///P///P///P///P///P///                
2020330 261811440 1 12 ///// 00068 N///// E///// Z///// P///P///P///P///P///P///                
2020430 261811440 1 08 ///// 00057 N///// E///// Z///// P///P///P///P///P///P///                
2020431 261811430 1 10 ///// 00055 N///// E///// Z///// P///P///P///P///P///P///                
2020830 261811450 1 08 ///// 00039 N///// E///// Z///// P///P///P///P///P///P///                
2021030 261811420 1 13 ///// 00115 N///// E///// Z///// P///P///P///P///P///P///                
2021031 261811280 1 12 ///// 00126 N///// E///// Z///// P///P///P///P///P///P///                
2021500 261811269 1 12 11269 00077 N00043 E00043 Z00076 F038F038F083F083F067F070                
2021530 261811420 1 09 ///// 00056 N///// E///// Z///// P///P///P///P///P///P///                
2021630 261811430 1 06 ///// 00058 N///// E///// Z///// P///P///P///P///P///P///                
2021830 261811410 1 06 ///// 00043 N///// E///// Z///// P///P///P///P///P///P///                
2021832 261811260 1 13 ///// 00112 N///// E///// Z///// P///P///P///P///P///P///                
2030030 261811490 1 07 ///// 00040 N///// E///// Z///// P///P///P///P///P///P///                
2030431 261811460 1 12 ///// 00054 N///// E///// Z///// P///P///P///P///P///P///                
2100000 261811401 1 06 11404 00036 N00030 E00028 Z00015 F100F100F072F072F115F120                
2100020 261811406 1 08 ///// 00041 N00031 E00025 Z00040 P001P///P001P///P002P///                
2100021 261811401 1 05 11394 00030 N00028 E00018 Z00018 F116F077F040F040F128F070                
2100022 261811432 1 06 11437 00040 N00035 E00032 Z00017 F124F123F085F085F090F090                
2100030 261811432 1 05 ///// 00058 N00048 E00049 Z00013 P001P///P001P///P001P///                
2100100 261811243 1 09 11343 00048 N00042 E00040 Z00032 F069F069F044F044F125F153                
2100400 261811445 1 07 11451 00043 N00042 E00026 Z00015 F056F056F058F058F094F093                
2100600 261811248 1 05 11363 00039 N00031 E00033 Z00018 F068F068F110F110F074P205                
2100630 261811375 1 07 ///// 00048 N00038 E00048 Z00014 P001P///P001P///P001P///                
2100730 261811355 1 09 ///// 00049 N00048 E00040 Z00024 P002P///P002P///P001P///                
2101230 261811347 1 09 ///// 00031 N00026 E00028 Z00019 P002P///P002P///P002P///                
2101600 261811248 1 09 11233 00078 N00029 E00034 Z00078 F035F035F050F050F102F102                
2110000 261811532 1 06 11537 00030 N00028 E00029 Z00016 F077F077F065F065F082F093                
2110130 261811558 1 07 ///// 00045 N00039 E00044 Z00023 P001P///P001P///P001P///                
2110200 261811384 1 08 11484 00082 N00074 E00068 Z00022 F142F142F122F122F198P205                
2110430 261811475 1 06 ///// 00038 N00031 E00030 Z00019 P001P///P001P///P001P///                
2120030 261811482 1 11 ///// 00067 N00045 E00059 Z00035 P001P///P001P///P001P///                
2120100 261811270 1 12 11407 00087 N00066 E00075 Z00072 F071F071F108F108F137F055                
2120130 261811439 1 11 ///// 00043 N00040 E00033 Z00017 P003P///P003P///P001P///                
2120300 261811292 1 07 11314 00044 N00037 E00037 Z00014 F065F065F091F091F093F088                
2120330 261811402 1 07 ///// 00041 N00038 E00035 Z00020 P001P///P001P///P001P///                
2120430 261811450 1 06 ///// 00049 N00040 E00041 Z00017 P001P///P002P///P001P///                
2121330 261811381 1 13 ///// 00075 N00060 E00049 Z00027 P001P///P002P///P001P///                
2121430 261811264 1 11 ///// 00106 N00061 E00097 Z00052 P001P///P001P///P001P///                
2130320 261811497 1 07 11507 00063 N00059 E00060 Z00022 F105F105F101F101F063F063                
2130330 261811521 1 06 ///// 00053 N00048 E00042 Z00010 P001P///P001P///P001P///                
2130431 261812022 1 08 ///// 00048 N00032 E00046 Z00029 P001P///P001P///P001P///                
2200200 261811593 1 05 11597 00028 N00020 E00021 Z00007 F054F053F049F049F066F125                
2200230 261812040 1 05 ///// 00032 N00031 E00022 Z00025 P001P///P002P///P001P///                
2205520 261812020 1 05 ///// 00054 N00043 E00038 Z00012 P001P///P001P///P001P///                
A2006022713470432 004 332933 012 1323460 013 410803536D37V5112  6235à§ïQåßìÏó\               28K
6211630 271347190 2 16 47189 00120 N00078 E00111 Z00027 P001P///P001P///P002P///                
5920430 271347378 1 05 ///// 00023 N///// E///// Z///// P///P///P///P///P///P///                
5920801 271347266 1 05 47273 00037 N00029 E00037 Z00011 F103F103F092F092F104F101                
5920837 271347265 1 07 ///// 00043 N///// E///// Z///// P///P///P///P///P///P///                
5921133 271347320 1 07 ///// 00032 N///// E///// Z///// P///P///P///P///P///P///                
5923031 271347305 1 05 ///// 00025 N///// E///// Z///// P///P///P///P///P///P///                
5923032 271347310 1 05 ///// 00023 N///// E///// Z///// P///P///P///P///P///P///                
6200200 271347227 1 08 47234 00038 N00029 E00031 Z00016 F038F038F042F042F085F196                
6211220 271347171 1 06 47172 00046 N00033 E00043 Z00020 F083F083F084F084F114F114                
6220020 271347178 1 07 47181 00047 N00039 E00044 Z00018 F063F062F062F062F196F179                
6220031 271347120 1 09 47125 00100 N00073 E00100 Z00025 P002P///P002P///P002P///                
6220100 271347113 1 07 47162 00154 N00140 E00144 Z00049 F137F137F135F135F153P205                
6220120 271347160 1 12 47163 00125 N00071 E00111 Z00033 F030F031F164F161F163F163                
6220130 271347170 1 05 47165 00038 N00030 E00036 Z00032 P002P///P002P///P002P///                
6220221 271347155 1 14 47162 00088 N00080 E00077 Z00028 F043F043F043F043F100F100                
6220231 271347130 1 08 47135 00098 N00074 E00098 Z00029 P002P///P002P///P001P///                
6220431 271347120 1 06 47127 00074 N00071 E00040 Z00011 P003P///P001P///P002P///                
6220432 271347160 1 10 47157 00041 N00037 E00023 Z00016 P002P///P002P///P002P///                
6222800 271347163 1 10 47169 00086 N00086 E00040 Z00033 F060F060F058F058F054P205                
6222830 271347130 1 12 47133 00066 N00051 E00061 Z00025 P006P///P003P///P003P///                
6222832 271347140 1 12 47140 00045 N00031 E00042 Z00016 P004P///P003P///P003P///                
6222833 271347130 1 06 47127 00036 N00035 E00026 Z00010 P002P///P002P///P002P///                
6320120 271347251 1 14 47255 00104 N00063 E00092 Z00054 F040F040F035F035F053F054                
6321700 271347259 1 06 47264 00021 N00019 E00017 Z00009 F035F035F055F055F042F088                
6321720 271347272 1 05 47277 00021 N00017 E00020 Z00009 F041F041F018F018F037F038                
7030720 271347220 1 05 47221 00027 N00026 E00019 Z00010 F017F016F019F019F038F038                
7030731 271347223 1 06 47227 00030 N00030 E00018 Z00015 P002P002P002P002P003P002                
7030761 271347217 1 08 47219 00035 N00022 E00034 Z00011 P003P003P003P003P003P003                
A2006022718105655 021 264083 041 1274495 050 529524141D41V5112  7294â´ìÍñ{ìáãﬂäC             23K
8000430 271810270 2 16 ///// 00080 N00079 E00050 Z00043 P///P///P///P///P///P///                
8000530 271811090 2 21 ///// 00182 N00136 E00068 Z00116 P///P///P///P///P///P///                
8000630 271810090 2 19 ///// 00121 N00095 E00093 Z00050 P///P///P///P///P///P///                
8011430 271810460 2 15 ///// 00098 N00096 E00085 Z00032 P///P///P///P///P///P///                
8011530 271811150 2 16 ///// 00129 N00089 E00129 Z00059 P///P///P///P///P///P///                
8012730 271811070 2 19 ///// 00103 N00093 E00080 Z00048 P///P///P///P///P///P///                
8000000 271811073 1 12 11110 00062 N00038 E00048 Z00025 F033F033F025F025F028F028                
8000100 271811083 1 05 11148 00032 N00030 E00029 Z00014 F067F067F043F043F067F386                
8000730 271811090 1 13 ///// 00091 N00068 E00073 Z00060 P///P///P///P///P///P///                
8001000 271811081 1 09 11148 00040 N00037 E00024 Z00016 F041F041F038F038F060F371                
8010000 271811111 1 08 11193 00038 N00031 E00029 Z00019 F072F072F076F076F072F027                
8010330 271810100 1 12 ///// 00079 N00060 E00078 Z00026 P///P///P///P///P///P///                
8010430 271811170 1 07 ///// 00032 N00022 E00031 Z00018 P///P///P///P///P///P///                
8010630 271811110 1 14 ///// 00071 N00069 E00055 Z00037 P///P///P///P///P///P///                
8010901 271811094 1 10 11129 00051 N00035 E00040 Z00037 F046F046F034F034F065F065                
8011130 271811160 1 08 ///// 00028 N00024 E00020 Z00022 P///P///P///P///P///P///                
8011230 271811140 1 09 ///// 00045 N00030 E00044 Z00021 P///P///P///P///P///P///                
8012130 271811160 1 11 ///// 00049 N00036 E00046 Z00024 P///P///P///P///P///P///                
8012430 271810170 1 11 ///// 00080 N00062 E00067 Z00051 P///P///P///P///P///P///                
8012731 271811150 1 09 ///// 00032 N00026 E00026 Z00017 P///P///P///P///P///P///                
8012900 271811089 1 06 11175 00061 N00056 E00031 Z00025 F110F110F105F105F133P026                
